,smile_ratio,times
0,2.125,2018-08-03 20:42:18.348594
1,2.706,2018-08-03 20:42:18.659341
2,2.75,2018-08-03 20:42:19.990388
3,2.64,2018-08-03 20:42:20.169127
4,2.152,2018-08-03 20:42:20.355389
5,2.222,2018-08-03 20:42:20.488065
6,1.808,2018-08-03 20:42:20.663769
7,2.279,2018-08-03 20:42:20.823998
8,2.316,2018-08-03 20:42:21.158465
9,2.615,2018-08-03 20:42:21.333711
10,2.411,2018-08-03 20:42:21.655167
11,2.045,2018-08-03 20:42:21.831411
12,2.138,2018-08-03 20:42:22.328166
13,2.375,2018-08-03 20:42:22.502408
14,2.291,2018-08-03 20:42:22.663637
15,2.052,2018-08-03 20:42:22.822865
16,2.19,2018-08-03 20:42:22.997101
17,1.803,2018-08-03 20:42:23.159319
18,1.815,2018-08-03 20:42:23.331563
19,1.862,2018-08-03 20:42:23.669035
20,2.172,2018-08-03 20:42:23.830265
21,2.017,2018-08-03 20:42:25.174000
22,1.838,2018-08-03 20:42:27.673798
